imdbId,directors,letterboxdAverageScore,letterboxdNumVotes
tt0004707,Mack Sennett,3.06,1616
tt0004972,D.W. Griffith,2.31,32086
tt0005078,Cecil B. DeMille,2.99,3745
tt0005960,Raoul Walsh,3.52,1330
tt0006864,D.W. Griffith,3.69,18974
tt0007340,Lois Weber,3.61,3265
tt0009682,Scott Sidney,3.05,472
tt0009937,Erich von Stroheim,3.6,1553
tt0009968,D.W. Griffith,3.43,12831
tt0010806,D.W. Griffith,3.63,2148
tt0011130,John S. Robertson,3.38,6488
tt0011387,Maurice Tourneur,3.33,834
tt0011565,Wallace Worsley,3.62,2022
tt0011652,"Herbert Blaché,Winchell Smith",3.04,1370
tt0011841,D.W. Griffith,3.65,4996
tt0011870,Oscar Micheaux,3.43,9457
tt0011979,Lois Weber,3.36,1071
tt0012349,Charlie Chaplin,4.21,102205
tt0012532,D.W. Griffith,3.55,3463
tt0012675,George Melford,2.72,2260
tt0012752,Fred Niblo,3.4,638
tt0012938,Sam Wood,3.36,560
tt0012952,Fred Niblo,3.22,788
tt0013140,Erich von Stroheim,3.67,4822
tt0013201,Fred C. Newmeyer,3.48,1541
tt0013427,Robert Flaherty,3.56,24852
tt0013597,Albert Parker,3.12,400
tt0014142,Wallace Worsley,3.45,5975
tt0014341,"John G. Blystone,Buster Keaton",3.89,16894
tt0014532,Cecil B. DeMille,3.29,1985
tt0014672,D.W. Griffith,3.26,251
tt0015016,John Ford,3.65,2465
tt0015064,F. W. Murnau,4.05,21559
tt0015119,Ernst Lubitsch,3.51,1787
tt0015163,"Buster Keaton,Donald Crisp",3.73,13759
tt0015361,Sergei Eisenstein,3.89,19973
tt0015400,Raoul Walsh,3.8,6942
tt0015532,Lotte Reiniger,3.98,16363
tt0015624,King Vidor,3.91,5130
tt0015634,Oscar Micheaux,3.35,2777
tt0015841,"Fred C. Newmeyer,Sam Taylor",3.75,8376
tt0015863,Buster Keaton,3.64,8128
tt0015864,Charlie Chaplin,4.14,76522
tt0015873,"Ernest B. Schoedsack,Merian C. Cooper",3.67,1016
tt0015881,Erich von Stroheim,4.02,10663
tt0016004,Ernst Lubitsch,3.69,1632
tt0016039,Harry O. Hoyt,3.43,5710
tt0016220,Rupert Julian,3.73,29248
tt0016308,D.W. Griffith,3.38,259
tt0016332,Buster Keaton,3.91,17238
tt0016473,Tod Browning,3.5,1988
tt0016847,F. W. Murnau,4.12,25682
tt0016884,Clarence Brown,3.76,2868
tt0017136,Fritz Lang,4.26,198046
tt0017162,"Robert Flaherty,Frances H. Flaherty",3.56,1111
tt0017739,Paul Leni,3.48,4094
tt0017765,"James W. Horne,Buster Keaton",3.36,7732
tt0017843,Alfred Hitchcock,2.72,2502
tt0018033,Clarence G. Badger,3.52,6962
tt0018037,Alan Crosland,2.81,14164
tt0018051,Ted Wilde,3.75,4927
tt0018054,Cecil B. DeMille,3.62,1792
tt0018107,Edmund Goulding,3.36,650
tt0018328,Alfred Hitchcock,3.1,4070
tt0018455,F. W. Murnau,4.19,60094
tt0018526,Josef von Sternberg,3.8,4535
tt0018578,William A. Wellman,3.75,17316
tt0018737,G.W. Pabst,3.87,16022
tt0018742,"Edward Sedgwick,Buster Keaton",4.11,26121
tt0018773,Charlie Chaplin,4.05,36008
tt0018806,King Vidor,4.09,10883
tt0019071,Josef von Sternberg,3.98,4661
tt0019130,Paul Leni,3.89,16276
tt0019195,Fred Niblo,3.51,759
tt0019254,Carl Theodor Dreyer,4.43,107162
tt0019304,Lewis Milestone,3.14,1587
tt0019344,Raoul Walsh,3.58,1088
tt0019379,King Vidor,3.71,2187
tt0019412,Ted Wilde,3.8,5868
