imdbId,directors,letterboxdAverageScore,letterboxdNumVotes
tt10128846,Francis Ford Coppola,2.32,238827
tt10245072,Gary Dauberman,2.39,90158
tt10655524,Justin Baldoni,2.43,517790
tt10720352,Simon Cellan Jones,3.19,39851
tt10869778,Amit Sharma,3.56,7047
tt11057302,S.J. Clarkson,1.47,392735
tt11152168,John Krasinski,2.91,147775
tt11301886,Jeremy Saulnier,3.44,199413
tt11315808,Todd Phillips,2.4,681818
tt11389872,Wes Ball,3.32,494015
tt11563598,James Mangold,3.58,643662
tt11821912,Koratala Siva,2.59,14288
tt11976134,Rohit Shetty,2.04,6562
tt12037194,George Miller,3.8,822715
tt12349832,Tilman Singer,2.92,225656
tt12584954,Lee Isaac Chung,3.29,767417
tt12610390,Julian Farino,2.01,45883
tt12735488,Nag Ashwin,3.08,34726
tt12810074,Marielle Heller,2.79,104607
tt13186482,Barry Jenkins,2.9,258682
tt13186604,McG,1.38,201513
tt13397574,Benoît Delhomme,3.05,93387
tt1340094,Rupert Sanders,2.16,104027
tt13433802,Michael Sarnoski,3.16,674606
tt13452446,Juan Carlos Fresnadillo,2.52,325707
tt13622970,"David G. Derrick Jr.,Jason Hand,Dana Ledoux Miller",2.82,382074
tt13964390,Xavier Gens,2.14,161326
tt14257582,Jon Watts,3.05,132267
tt14371860,Natalie Erika James,2.72,38682
tt14539740,Adam Wingard,2.69,366719
tt14564000,Trivikram Srinivas,2.28,11600
tt14577874,Greg Jardin,3.47,385968
tt14753612,Randeep Hooda,3.36,1017
tt14764464,Jeff Chan,2.64,15414
tt14824600,Kenji Kamiyama,3.05,89683
tt14855468,Simon Otto,3.35,56349
tt14856980,Brad Peyton,2.03,46678
tt14857528,Hannah Macpherson,2.05,147293
tt14858658,Zoë Kravitz,3.33,552955
tt14914430,Jerry Seinfeld,2.05,70413
tt14948432,Jake Kasdan,2.28,290809
tt15009428,Matthew Vaughn,2.26,231230
tt15239678,Denis Villeneuve,4.4,2283125
tt15334030,A. P. Arjun,2.35,897
tt15433956,Prasanth Varma,3.13,9618
tt15552142,"Celine Held,Logan George",3.42,113859
tt15574270,Jane Schoenbrun,3.51,547373
tt15939198,Steve McQueen,3.04,52064
tt16227342,Sharan Sharma,2.64,3341
tt16366836,Kelly Marcel,2.51,329360
tt16426418,Luca Guadagnino,3.89,2022775
tt1660648,Peter Farrelly,2.74,184805
tt17163970,"Nick Park,Merlin Crossingham",3.85,358991
tt17526714,Coralie Fargeat,3.79,2257484
tt18072316,Ali Abbas Zafar,1.89,3505
tt18259086,Jeff Fowler,3.47,348275
tt18412256,Fede Álvarez,3.59,922486
tt18559464,Megan Park,3.53,255074
tt1896747,Greg Berlanti,3.1,127949
tt19356262,Ethan Coen,2.84,220155
tt19637052,Rose Glass,3.55,532519
tt19838634,Sudhanshu Saria,2.69,2397
tt19864802,William Eubank,3.04,46983
tt20112746,Kiah Roache-Turner,2.46,40317
tt20215234,Edward Berger,3.91,1018837
tt20221436,Jacques Audiard,2.03,514418
tt2049403,Tim Burton,3.23,792784
tt21097228,Aaron Schimberg,3.8,205361
tt21188080,Zelda Williams,3.46,325653
tt21235248,Gil Kenan,2.58,213149
tt21261712,Sam Taylor-Johnson,2.5,132416
tt21279806,Philip Martin,2.99,48894
tt21382296,Jaume Collet-Serra,2.99,761766
tt21383812,Rajesh Krishnan,2.95,16753
tt21626774,Aditya Nimbalkar,3.26,11533
tt21692408,Mike Mitchell,2.68,311322
tt21823606,Jesse Eisenberg,3.75,711172
tt21830902,Carlson Young,2.77,193944
tt21957774,Janeen Damian,1.91,94718
tt22022452,Kelsey Mann,3.6,1879299
tt22048412,Ti West,3.09,660774
tt22050754,Renny Harlin,1.85,119805
tt22408160,Yorgos Lanthimos,3.33,429444
tt22939186,Benjamin Brewer,2.65,41708
tt23137390,Michael Mohan,2.91,461724
tt23468450,Osgood Perkins,3.35,1283828
tt24169886,Doug Liman,2.79,48664
tt24458622,Tyler Perry,3.21,67638
