,imdbId,isAdult,budget,revenue,tmdbAverageScore,tmdbNumVotes
0,tt0004972,False,100000,11000000,6.0,542
1,tt0005078,False,17311,137365,5.9,64
2,tt0006864,False,385907,1750000,7.1,341
3,tt0012349,False,250000,2500000,8.2,2137
4,tt0013140,False,1100000,400200,6.6,90
5,tt0015400,False,1135654,1490419,7.342,165
6,tt0015624,False,382000,20000000,7.6,112
7,tt0015864,False,923000,4000000,8.0,1633
8,tt0015881,False,665603,274827,7.4,180
9,tt0016473,False,103000,704000,6.8,55
10,tt0016884,False,373000,658000,7.2,58
11,tt0017136,False,5300000,1350322,8.1,2808
12,tt0018037,False,422000,2600000,6.1,224
13,tt0018054,False,1265000,2640000,6.5,54
14,tt0018578,False,2000000,3600000,7.2,281
15,tt0019195,False,337000,551000,7.4,32
16,tt0019344,False,1000000,7000000,6.8,32
17,tt0019729,False,379000,4358000,5.2,142
18,tt0020629,False,1448864,3270000,7.755,816
19,tt0020960,False,3950000,8000000,6.462,92
20,tt0021079,False,281000,752000,6.9,266
21,tt0021730,False,356000,1600000,7.1,55
22,tt0021746,False,1433000,1383000,5.6,129
23,tt0021749,False,1500000,4250000,8.272,2213
24,tt0021814,False,355000,700000,7.156,1233
25,tt0021873,False,310000,822000,6.6,38
26,tt0021884,False,291000,12000000,7.467,1612
27,tt0022286,False,151000,557000,7.2,347
28,tt0022495,False,1300000,4200000,5.3,16
29,tt0022641,False,460733,1362000,6.2,12
30,tt0022835,False,535000,1300000,7.264,292
31,tt0022958,False,700000,2594000,6.939,312
32,tt0023151,False,621000,732000,6.3,18
33,tt0023196,False,558000,2227000,6.2,54
34,tt0023238,False,219869,443000,6.9,277
35,tt0023382,False,408000,1223000,6.953,64
36,tt0023427,False,800000,600000,7.444,608
37,tt0023775,False,187000,451000,7.276,125
38,tt0023876,False,1180280,7630000,5.5,116
39,tt0023926,False,923055,2400000,7.0,38
40,tt0024028,False,703000,2416000,6.874,87
41,tt0024034,False,439000,2281000,6.9,184
42,tt0024069,False,433000,3200000,7.2,153
43,tt0024166,False,225000,2850000,6.4,51
44,tt0024184,False,328000,27105,7.5,859
45,tt0024216,False,672000,10000000,7.593,1496
46,tt0024264,False,424000,2100000,6.8,136
47,tt0024481,False,1114000,2610000,6.8,122
48,tt0024548,False,200000,2200000,5.8,114
49,tt0024593,False,250000,616000,5.4,127
50,tt0024865,False,820000,1258000,6.0,19
51,tt0024873,False,800000,1300000,5.75,10
52,tt0024894,False,95745,236000,6.685,276
53,tt0024916,False,668900,1400000,6.1,19
54,tt0025164,False,520000,1800000,6.9,127
55,tt0025316,False,325000,4500000,7.817,1274
56,tt0025601,False,733150,2500000,5.5,15
57,tt0025878,False,226408,1423000,7.5,469
58,tt0026056,False,342000,770000,6.7,53
59,tt0026138,False,393750,2000000,7.5,993
60,tt0026266,False,1073000,3064000,6.638,69
61,tt0026529,False,243000,950000,6.7,106
62,tt0026752,False,1950000,4460000,7.4,339
63,tt0026768,False,782000,2057000,5.1,19
64,tt0027125,False,609000,3202000,7.3,295
65,tt0027260,False,673000,3165000,7.3,170
66,tt0027300,False,1192000,2750000,5.7,30
67,tt0027438,False,1200000,2736000,6.5,74
68,tt0027630,False,747000,2727000,6.824,68
69,tt0027698,False,2183000,4673000,6.2,130
70,tt0027893,False,590000,1037000,6.8,53
71,tt0027977,False,1500000,1800000,8.282,3742
72,tt0028216,False,1300000,5273000,6.6,72
73,tt0028333,False,886000,2600000,6.8,224
74,tt0028597,False,600000,3000000,7.2,310
75,tt0028757,False,1035000,1465000,6.4,34
76,tt0028944,False,2800000,3557000,6.293,70
77,tt0029222,False,2126000,4006000,6.2,10
78,tt0029284,False,921000,2057000,6.9,156
79,tt0029442,False,1250000,5000000,7.5,53
80,tt0029604,False,952000,1762000,6.978,116
81,tt0029606,False,1200000,2370000,7.131,217
82,tt0029843,False,2033000,3981000,7.5,758
83,tt0029852,False,2000000,4000000,6.6,27
84,tt0029971,False,1253000,1731000,6.6,62
85,tt0031047,False,1107000,2223000,7.142,123
86,tt0031067,False,509000,1975000,7.123,65
87,tt0031398,False,1915000,2807000,6.542,156
88,tt0031679,False,1500000,9600000,7.859,1068
89,tt0031725,False,1365000,2279000,7.506,389
90,tt0031885,False,8847685,273520,7.5,597
91,tt0031971,False,531374,1103757,7.6,1128
92,tt0032138,False,2777000,33754967,7.6,5671
93,tt0032143,False,1688000,2270000,7.109,156
94,tt0032455,False,2280000,76411819,7.4,3084
95,tt0032551,False,800000,1591000,7.835,996
96,tt0032553,False,2000000,11000000,8.3,3415
97,tt0032910,False,2600000,164000000,7.1,5889
98,tt0032976,False,1288000,7592465,7.89,1788
99,tt0033028,False,1700000,2000000,7.2,130
100,tt0033149,False,539000,1596000,6.9,113
101,tt0033238,False,1200000,2500000,7.5,152
102,tt0033467,False,839727,23218000,7.998,5593
103,tt0033563,False,812000,1600000,7.0,4998
104,tt0033729,False,1250000,6000000,7.3,407
105,tt0033852,False,889900,2000000,7.1,34
106,tt0033870,False,375000,1772000,7.706,1715
107,tt0034167,False,1400000,16361885,7.2,209
108,tt0034172,False,821000,2301000,7.0,106
109,tt0034248,False,1103000,4500000,7.1,817
110,tt0034465,False,904765,3453416,5.9,48
111,tt0034492,False,858000,267447150,7.0,5701
112,tt0034522,False,1493800,5727000,6.4,84
113,tt0034587,False,134000,4000000,6.9,598
114,tt0034746,False,802000,4371000,6.427,48
115,tt0035093,False,1344000,13500000,7.0,259
116,tt0035238,False,1210000,8147000,7.3,103
117,tt0035279,False,780000,1250000,6.9,508
118,tt0035417,False,1000000,1100000,7.3,105
119,tt0035423,False,48000000,76019048,6.3,1362
120,tt0035432,False,512423,1000000,6.9,168
121,tt0035446,False,1200000,1500000,7.816,741
122,tt0035567,False,1000000,2700000,6.9,147
123,tt0035703,False,662141,1606624,6.4,38
124,tt0035799,False,1516000,4544000,6.7,62
125,tt0035884,False,855000,1200000,6.9,130
126,tt0035896,False,3000000,17800000,6.5,190
127,tt0035959,False,2627000,5363000,6.5,51
128,tt0036022,False,1000000,3900000,6.315,27
129,tt0036098,False,666000,4517000,6.6,125
130,tt0036241,False,3400000,5075000,5.4,96
131,tt0036775,False,927262,2500000,8.112,1829
132,tt0036868,False,2100000,23650000,7.8,659
133,tt0037008,False,1020000,2000000,7.6,813
134,tt0037017,False,1590000,1000000,7.4,438
135,tt0037059,False,1707561,7566000,7.0,390
136,tt0037263,False,1300000,3600000,6.7,39
137,tt0037465,False,2995000,2000000,5.5,23
138,tt0037514,False,2600000,7500000,6.8,157
139,tt0037595,False,864000,3000000,7.0,157
140,tt0037884,False,1250000,11000000,7.637,601
141,tt0037913,False,1453000,5638000,7.6,401
142,tt0038057,False,1202000,2948500,7.6,388
143,tt0038109,False,1500000,7000000,7.4,891
144,tt0038262,False,2443322,1791000,5.7,11
145,tt0038355,False,250000,10682000,7.6,1059
146,tt0038499,False,6000000,20400000,6.3,170
147,tt0038559,False,2000000,6000000,7.5,586
148,tt0038650,False,3180000,9644124,8.3,4433
149,tt0038762,False,2000000,2750000,7.4,430
150,tt0038787,False,2000000,24500000,7.7,1621
151,tt0038854,False,1683000,5086000,7.0,340
152,tt0038975,False,750000,2800000,7.042,251
153,tt0038991,False,1034000,3220000,7.226,585
154,tt0039035,False,3316000,6724000,5.7,23
155,tt0039169,False,1961000,5550000,6.94,126
156,tt0039286,False,250000,1300000,6.6,138
157,tt0039416,False,2000000,7800000,6.9,253
158,tt0039628,False,630000,2700000,7.37,760
159,tt0039694,False,4258000,2100000,6.23,239
160,tt0039806,False,2349000,4689000,6.3,27
161,tt0039853,False,1670000,2305000,6.8,87
162,tt0040064,False,1243000,2841000,6.75,188
163,tt0040068,False,800000,4812444,7.045,310
164,tt0040369,False,2500000,3000000,7.0,373
165,tt0040522,False,133000,450159,8.2,2449
166,tt0040694,False,3700000,2956000,6.4,94
167,tt0040724,False,3000000,9012000,7.4,533
168,tt0040745,False,2532000,3225000,6.7,29
169,tt0040746,False,1500000,2200000,7.944,2750
170,tt0040876,False,4474000,8412000,6.8,142
171,tt0040897,False,3800000,4307000,7.95,1218
172,tt0041088,False,1290000,1129000,6.909,88
173,tt0041098,False,500000,1500000,5.7,58
174,tt0041127,False,1363000,3205000,6.9,12
