imdbId,productionCountries,studios,originalLanguage,isAdult,budget,revenue,tmdbAverageScore,tmdbNumVotes
tt10128846,United States of America,"American Zoetrope,Caesar Film",en,False,120000000,13857002,5.302,718
tt10655524,United States of America,"Columbia Pictures,Wayfarer Studios,Saks Picture Company",en,False,25000000,350993761,7.052,1505
tt10720352,"Canada,United States of America","Entertainment One,Tucker Tooley Entertainment,Municipal Pictures,Atmosphere Entertainment MM",en,False,19000000,40829138,7.6,757
tt11057302,United States of America,"Columbia Pictures,di Bonaventura Pictures",en,False,80000000,100498764,5.376,2141
tt11152168,United States of America,"Paramount Pictures,Sunday Night Productions,Maximum Effort",en,False,110000000,190309707,7.092,1298
tt11315808,United States of America,"Warner Bros. Pictures,Joint Effort,Domain Entertainment",en,False,195000000,206400287,5.479,2211
tt11389872,United States of America,"20th Century Studios,Oddball Entertainment,Jason T. Reed Productions",en,False,160000000,397378150,7.1,3621
tt11563598,United States of America,"Veritas Entertainment Group,Range Media Partners,The Picture Company,Turnpike Films,White Water,Searchlight Pictures",en,False,65000000,127117744,7.159,740
tt11821912,India,"N. T. R. Arts,Yuvasudha Arts",te,False,24000000,54000000,7.0,175
tt12037194,"Australia,United States of America","Warner Bros. Pictures,Kennedy Miller Mitchell,Domain Entertainment",en,False,170000000,173775791,7.5,3983
tt12349832,"Germany,United States of America","Waypoint Entertainment,Fiction Park,NEON,100 Zeros",en,False,7000000,6680396,5.741,291
tt12584954,United States of America,"Universal Pictures,Warner Bros. Pictures,Amblin Entertainment,Domain Entertainment",en,False,155000000,370962265,6.857,2300
tt12735488,India,"Vyjayanthi Movies,Annapurna Studios",te,False,75000000,141000000,6.4,116
tt12810074,United States of America,"Annapurna Pictures,Bond Group Entertainment,Defiant By Nature,Archer Gray",en,False,20000000,170737,5.8,229
tt13186482,United States of America,Walt Disney Pictures,en,False,200000000,700197856,7.5,1667
tt1340094,"France,Germany,United Kingdom,United States of America","Davis Films,Pressman Film,Hassell Free Productions,Electric Shadow Company,30WEST,Ashland Hill Media Finance,FilmNation Entertainment,Maze Pictures,Occupant Entertainment",en,False,50000000,24109036,5.831,982
tt13433802,United States of America,"Paramount Pictures,Platinum Dunes,Sunday Night Productions",en,False,67000000,261907653,6.745,2605
tt13452446,"Spain,United States of America","PCMA Productions,Roth-Kirschenbaum Films,Palma Pictures",en,False,60000000,5000,7.028,2359
tt13622970,"Canada,United States of America","Walt Disney Pictures,Walt Disney Animation Studios,Walt Disney Animation Studios",en,False,150000000,1056396565,7.127,1968
tt14539740,United States of America,Legendary Pictures,en,False,150000000,571750016,7.1,4097
